timestamp,ADAUSDT:strategy_1,ADAUSDT:strategy_2,ADAUSDT:strategy_3,BNBUSDT:strategy_4,BTCUSDT:strategy_5,BTCUSDT:strategy_6,ETHUSDT:strategy_7,ETHUSDT:strategy_8,ETHUSDT:strategy_9,ETHUSDT:strategy_10,ETHUSDT:strategy_11,ETHUSDT:strategy_12,ETHUSDT:strategy_13,TRXUSDT:strategy_14,VETUSDT:strategy_15,XLMUSDT:strategy_16
2020-07-03T17:00:00.000000000,-0.000257659,0,-0.000290975,0,4.43E-06,0,1.83406E-05,0,0,-1.84404E-05,0,0,0,7.40E-06,0,-1.624E-05
2020-07-03T18:00:00.000000000,0.000152043,0,0.000171704,0,3.81924E-05,0,2.47593E-05,0,0,-2.48951E-05,0,0,0,7.40E-06,0,-3.62285E-05
2020-07-03T19:00:00.000000000,-0.000160046,0,-0.000180741,0,-2.75052E-05,0,-1.10041E-05,0,0,1.10645E-05,0,0,0,0,0,-2.74846E-05
2020-07-03T20:00:00.000000000,3.52123E-05,0,3.97659E-05,0,-1.17943E-05,0,-3.75982E-05,0,0,3.7803E-05,0,0,0,-1.48078E-05,0,4.74729E-05
2020-07-03T21:00:00.000000000,-9.28351E-05,0,-0.000104841,0,-3.45746E-05,0,9.17E-06,0,0,-9.22E-06,0,0,0,4.44226E-05,0,2.12372E-05
2020-07-03T22:00:00.000000000,-0.000382635,0,-0.000432132,0,5.37348E-05,0,5.59377E-05,0,0,-5.62445E-05,0,0,0,3.70173E-05,0,-5.00E-06
2020-07-03T23:00:00.000000000,6.40496E-05,0,7.23364E-05,0,0.000109547,0,0.000111866,0,0,-0.000112498,0,5.17265E-05,0,4.4419E-05,0,-0.000111188
2020-07-04T00:00:00.000000000,0.00024981,0,0.000282125,0,-6.40995E-05,0,-3.69039E-05,0,0,-7.44028E-05,0,-4.26912E-05,0,-4.56487E-05,0,1.79039E-05
2020-07-04T01:00:00.000000000,3.20E-06,0,3.62E-06,0,1.75E-06,0,-1.192E-05,0,0,-1.36751E-05,0,-1.37893E-05,0,-2.22103E-05,0,-3.87307E-05
2020-07-04T02:00:00.000000000,0,0,0,0,-6.74E-05,0,-9.53651E-05,0,0,-0.000109408,0,-0.000110321,0,-5.92298E-05,0,6.37175E-05
2020-07-04T03:00:00.000000000,-1.92096E-05,0,-2.16942E-05,0,1.19646E-05,0,3.1178E-05,0,0,3.57693E-05,0,3.6068E-05,0,1.48078E-05,0,-2.62361E-05
2020-07-04T04:00:00.000000000,-5.92319E-05,0,-6.68934E-05,0,-3.07E-06,0,4.58E-06,0,0,5.26E-06,0,5.30E-06,0,0,0,-5.00E-06
2020-07-04T05:00:00.000000000,0.000187289,0,0.000211512,0,-2.49087E-05,0,-5.13523E-05,0,0,-5.89145E-05,0,-5.94064E-05,0,-7.40E-06,0,1.37429E-05
2020-07-04T06:00:00.000000000,0.000164849,0,0.000186166,0,5.49686E-05,0,3.66805E-05,0,0,4.20821E-05,0,4.24335E-05,0,2.96151E-05,0,-1.62416E-05
2020-07-04T07:00:00.000000000,4.00078E-05,0,4.51807E-05,0,2.18844E-05,0,9.17E-06,0,0,1.05203E-05,0,1.06081E-05,0,1.48072E-05,0,-5.00E-06
2020-07-04T08:00:00.000000000,-0.000160043,0,-0.000180737,0,-1.42945E-05,0,-1.49112E-05,0,0,-1.71069E-05,0,-1.72498E-05,0,6.17E-06,0,-3.34E-06
2020-07-04T09:00:00.000000000,8.64253E-05,0,9.76011E-05,0,1.76267E-05,0,1.37549E-05,0,0,1.57804E-05,0,1.59122E-05,0,0,0,0
2020-07-04T10:00:00.000000000,-1.76045E-05,0,-1.98809E-05,0,3.94673E-05,0,3.4845E-05,0,0,3.9976E-05,0,4.03098E-05,0,2.96136E-05,0,-4.74774E-05
2020-07-04T11:00:00.000000000,-2.24062E-05,0,-2.53036E-05,0,2.08187E-05,0,6.42E-06,0,0,7.36E-06,0,7.43E-06,0,-3.70172E-05,0,5.00E-06
2020-07-04T12:00:00.000000000,-0.000190473,0,-0.000215106,0,-4.86627E-05,0,-5.22676E-05,0,0,-5.99642E-05,0,-6.04649E-05,0,0,0,1.24942E-05
2020-07-04T13:00:00.000000000,0.000200076,0,0.000225951,0,-4.25339E-05,0,-1.19211E-05,0,0,-1.36765E-05,0,-1.37907E-05,0,-3.70185E-05,0,5.87207E-05
2020-07-04T14:00:00.000000000,-5.92183E-05,0,-6.68761E-05,0,-6.98088E-05,0,4.49325E-05,0,0,5.15491E-05,0,5.19795E-05,0,7.40E-06,0,-9.99E-06
2020-07-04T15:00:00.000000000,-8.6433E-05,0,-9.76109E-05,0,-9.76E-06,0,-1.83E-06,0,0,-2.10E-06,0,-2.12E-06,0,2.96147E-05,0,-1.25E-06
2020-07-04T16:00:00.000000000,-0.000107228,0,-0.000121097,0,2.1248E-05,0,-7.57E-06,0,0,-8.69E-06,0,-8.76E-06,0,6.17E-06,0,3.03951E-05
2020-07-04T17:00:00.000000000,0.000113654,0,0.000128354,0,0.000305632,0,-0.000367775,0,0,-0.000421944,0,0.000306324,0,-7.4038E-05,0,9.49435E-05
2020-07-04T18:00:00.000000000,-6.40E-06,0,-7.23E-06,0,-9.51284E-05,0,-1.51526E-05,0,0,-0.000207459,0,-0.000160528,0,1.4808E-05,0,-2.12366E-05
2020-07-04T19:00:00.000000000,2.08086E-05,0,2.34998E-05,0,-3.34067E-05,0,0,0,0,3.59393E-05,0,3.44957E-05,0,-1.4808E-05,0,-1.624E-05
2020-07-04T20:00:00.000000000,-4.48191E-05,0,-5.06156E-05,0,2.42E-06,0,0,0,0,-2.76E-06,0,-2.65E-06,0,2.96158E-05,-0.000108052,-3.24809E-05
2020-07-04T21:00:00.000000000,-4.96235E-05,0,-5.60417E-05,0,-4.11321E-05,0,0,0,0,-3.31748E-05,0,-3.18422E-05,0,2.22113E-05,0.000150381,-1.99887E-05
2020-07-04T22:00:00.000000000,0.000182474,0,0.000206073,0,3.95746E-05,0,0,0,0,1.93521E-05,0,1.85748E-05,0,-1.48075E-05,-1.89915E-05,1.87395E-05
2020-07-04T23:00:00.000000000,0.000129633,0,0.000146395,0,1.86901E-05,0,0,0,0,4.28498E-05,0,4.11286E-05,0,-4.44238E-05,-3.06993E-05,4.99702E-05
2020-07-05T00:00:00.000000000,-0.000310507,0,-0.000350661,0,-6.78E-06,0,0,0,0,-2.252E-05,0,-2.16154E-05,0,2.83692E-05,8.94279E-05,-4.83205E-05
2020-07-05T01:00:00.000000000,4.96235E-05,0,5.60416E-05,0,-2.42529E-05,0,0,0,0,-1.79694E-05,0,-1.72476E-05,0,-2.2212E-05,-7.80E-07,3.37301E-05
2020-07-05T02:00:00.000000000,-0.000108855,0,-0.000122934,0,-2.73368E-05,0,0,0,0,-0.000136855,0,-0.000147793,0,6.66345E-05,2.2112E-05,-7.87053E-05
2020-07-05T03:00:00.000000000,4.96264E-05,0,5.60454E-05,0,3.74767E-05,0,0,0,0,4.56203E-05,0,0,0,-7.40E-06,-0.000356974,7.50E-06
2020-07-05T04:00:00.000000000,-4.32229E-05,0,-4.88135E-05,0,-1.68151E-05,0,0,0,0,0,0,0,0,-7.40E-06,-0.000738029,4.37256E-05
2020-07-05T05:00:00.000000000,-0.000254572,0,-0.000287506,0,-0.000151952,0,0,0,0,-0.000207382,0,0,0,6.6631E-05,0.00051004,-9.61989E-05
2020-07-05T06:00:00.000000000,-3.04249E-05,0,-3.43616E-05,0,-5.63045E-05,0,0,0,0,-1.38E-06,0,0,0,-7.40E-06,4.69E-06,5.00E-06
2020-07-05T07:00:00.000000000,0.000120093,0,0.000135631,0,9.51E-06,0,0,0,0,-8.30E-06,0,0,0,2.96126E-05,7.03E-06,-1.25E-06
2020-07-05T08:00:00.000000000,0.000112125,0,0.00012663,0,1.80385E-05,0,0,0,0,2.17542E-05,0,0,0,-1.60366E-05,1.60255E-05,4.16E-06
2020-07-05T09:00:00.000000000,-0.000273803,0,-0.000309226,0,-0.000155795,0,0,0,0,-0.00032913,0,0.000200501,0,0.000125846,-4.42492E-05,-0.000127213
2020-07-05T10:00:00.000000000,2.24194E-05,0,2.53204E-05,0,-0.000148948,0,-0.000151705,0,0,-0.000170041,0,-0.000131465,0,-5.92196E-05,-0.000119483,0
2020-07-05T11:00:00.000000000,-6.88612E-05,0,-7.77717E-05,0,-2.45201E-05,0,5.47E-06,0,0,5.48E-06,0,5.63E-06,0,-7.40E-06,0.00010829,0
